OBJECTID,radio,mcc,net,area,cell,unit,lon,lat,range_,samples,changeable,created,updated,averagesig,county,subcounty,ward
1,UMTS,639,2,5572,137862418,0,34.74210400000,-0.02218000000,1000,2,1,1525933055,1525933114,0,Vihiga,Hamisi Sub County,Tambua Ward
2,GSM,639,2,5067,4546,0,34.58908100000,-0.01442000000,1000,2,1,1458832681,1464146697,0,Vihiga,Luanda Sub County,Luanda South Ward
3,GSM,639,2,5009,3672,0,34.72572327000,0.01441955600,1000,1,1,1473321963,1473299243,0,Vihiga,Hamisi Sub County,Jepkoyai Ward
4,UMTS,639,2,49331,137731987,0,34.62821960000,0.04051208500,1000,1,1,1458908206,1448969496,0,Vihiga,Luanda Sub County,Wemilabi Ward
5,GSM,639,2,295,16232,0,34.58152771000,0.05424499500,1000,1,1,1387120250,1387100451,0,Vihiga,Emuhaya Sub County,West Bunyore Ward
6,GSM,639,2,5068,1032,0,34.83833313000,0.05561828600,1000,2,1,1489810017,1490396213,0,Vihiga,Hamisi Sub County,Banja Ward
7,GSM,639,2,5066,841,0,34.72194700000,0.07278400000,1000,4,1,1458832680,1488861626,0,Vihiga,Vihiga Sub County,Lugaga-wamuluma Ward
8,GSM,639,2,5068,2181,0,34.78820800000,0.10917700000,1280,2,1,1458832681,1473299266,0,Vihiga,Sabatia Sub County,Wodanga Ward
9,GSM,639,3,46,23201,0,34.63371277000,0.11466980000,1000,1,1,1471603420,1471579007,0,Vihiga,Emuhaya Sub County,North East Bunyore Ward
10,GSM,639,2,5106,670,0,34.84794617000,0.12565612800,1000,1,1,1481196845,1481167957,0,Vihiga,Hamisi Sub County,Shiru Ward
11,GSM,639,2,5066,865,0,34.73877000000,0.12771600000,1127,2,1,1458832680,1473299262,0,Vihiga,Sabatia Sub County,West Sabatia Ward
12,GSM,639,3,64,16902,0,34.90699800000,0.16067500000,1574,2,1,1458832716,1465791829,0,Vihiga,Hamisi Sub County,Shiru Ward
