radio,mcc,net,area,cell,unit,lon,lat,range_,samples,changeable,created,updated,averagesig,county,subcounty,ward
GSM,639,2,295,16645,0,34.700317,0.119247,3473,6,1,1377427249,1435584144,0,Vihiga,Sabatia Sub County,West Sabatia Ward
GSM,639,2,310,37284,0,34.579468,0.046692,1000,2,1,1387120297,1387100559,0,Vihiga,Emuhaya Sub County,West Bunyore Ward
GSM,639,2,310,37286,0,34.582901,0.031586,1000,2,1,1387120416,1387100677,0,Vihiga,Emuhaya Sub County,West Bunyore Ward
GSM,639,2,267,16696,0,34.74678,0.118332,1778,3,1,1418568883,1435584144,0,Vihiga,Sabatia Sub County,Chavakali Ward
GSM,639,2,5009,6082,0,34.733963,0.009613,1000,2,1,1473321963,1488861626,0,Vihiga,Hamisi Sub County,Jepkoyai Ward
GSM,639,2,5009,37091,0,34.72297668,0.048751831,1000,1,1,1458832661,1432280828,0,Vihiga,Vihiga Sub County,Central Maragoli Ward
GSM,639,2,5009,775,0,34.741516,0.00824,3094,4,1,1458832661,1489789489,0,Vihiga,Hamisi Sub County,Jepkoyai Ward
GSM,639,2,5009,772,0,34.724075,0.048752,1000,5,1,1458832661,1489747665,0,Vihiga,Vihiga Sub County,Central Maragoli Ward
GSM,639,2,5009,1921,0,34.724007,0.051842,1000,4,1,1458832661,1488861626,0,Vihiga,Vihiga Sub County,Central Maragoli Ward
GSM,639,2,5009,1924,0,34.722977,0.058708,1000,4,1,1458832661,1488861626,0,Vihiga,Vihiga Sub County,Central Maragoli Ward
GSM,639,2,5009,1920,0,34.722977,0.056648,1000,4,1,1458832661,1488861626,0,Vihiga,Vihiga Sub County,Central Maragoli Ward
GSM,639,2,5009,776,0,34.731216,0.048752,1707,4,1,1458832661,1488861620,0,Vihiga,Vihiga Sub County,Central Maragoli Ward
GSM,639,2,5006,16561,0,34.78752136,0.153121948,1000,1,1,1458832661,1435584144,0,Vihiga,Sabatia Sub County,Busali Ward
GSM,639,2,5009,37090,0,34.72297668,0.048751831,1000,1,1,1458832661,1432280828,0,Vihiga,Vihiga Sub County,Central Maragoli Ward
GSM,639,2,5009,1922,0,34.724007,0.049438,1000,4,1,1458832661,1488861626,0,Vihiga,Vihiga Sub County,Central Maragoli Ward
GSM,639,2,5021,210,0,34.729843,0.029251,2995,5,1,1458832664,1489789489,0,Vihiga,Hamisi Sub County,Jepkoyai Ward
GSM,639,2,5066,621,0,34.72434998,0.048751831,1000,1,1,1458832680,1445674049,0,Vihiga,Vihiga Sub County,Central Maragoli Ward
GSM,639,2,5066,841,0,34.721947,0.072784,1000,4,1,1458832680,1488861626,0,Vihiga,Vihiga Sub County,Lugaga-wamuluma Ward
GSM,639,2,5066,624,0,34.71199036,0.111923218,1000,1,1,1458832680,1438560010,0,Vihiga,Sabatia Sub County,Chavakali Ward
GSM,639,2,5066,3901,0,34.722633,0.059395,1184,4,1,1458832680,1488861626,0,Vihiga,Vihiga Sub County,Central Maragoli Ward
GSM,639,2,5068,911,0,34.770355,0.091324,1000,2,1,1458832681,1479682914,0,Vihiga,Sabatia Sub County,North Maragoli Ward
GSM,639,2,5068,2176,0,34.781342,0.129776,3694,2,1,1458832681,1488861626,0,Vihiga,Sabatia Sub County,Busali Ward
GSM,639,2,5066,4605,0,34.722061,0.096817,1000,3,1,1458832680,1488861626,0,Vihiga,Sabatia Sub County,Lyaduywa/izava Ward
GSM,639,2,5066,4606,0,34.720688,0.091782,1000,3,1,1458832680,1488861626,0,Vihiga,Sabatia Sub County,Lyaduywa/izava Ward
GSM,639,2,5066,754,0,34.740829,0.129089,1000,2,1,1458832680,1473299262,0,Vihiga,Sabatia Sub County,West Sabatia Ward
GSM,639,2,5066,751,0,34.745636,0.11467,1000,2,1,1458832680,1473299262,0,Vihiga,Sabatia Sub County,Chavakali Ward
GSM,639,2,5068,2185,0,34.788208,0.10849,1207,2,1,1458832681,1473299266,0,Vihiga,Sabatia Sub County,Wodanga Ward
GSM,639,2,5068,914,0,34.781342,0.094757,1207,2,1,1458832681,1485336972,0,Vihiga,Sabatia Sub County,Wodanga Ward
GSM,639,2,5066,1911,0,34.73396301,0.140762329,1000,1,1,1458832680,1446200586,0,Vihiga,Sabatia Sub County,West Sabatia Ward
GSM,639,2,5067,1944,0,34.614029,0.028152,1000,3,1,1458832681,1483391100,0,Vihiga,Luanda Sub County,Wemilabi Ward
GSM,639,2,5068,2172,0,34.780655,0.094757,1135,2,1,1458832681,1479682914,0,Vihiga,Sabatia Sub County,Wodanga Ward
GSM,639,2,5066,3745,0,34.72160339,0.083084106,1000,1,1,1458832680,1440990937,0,Vihiga,Sabatia Sub County,Lyaduywa/izava Ward
GSM,639,2,5067,2901,0,34.60041,0.021629,1417,4,1,1458832681,1488116251,0,Vihiga,Luanda Sub County,Luanda Township Ward
GSM,639,2,5066,840,0,34.719543,0.105057,3013,4,1,1458832680,1488861626,0,Vihiga,Sabatia Sub County,Chavakali Ward
GSM,639,2,5066,845,0,34.724808,0.077133,1082,3,1,1458832680,1488861626,0,Vihiga,Vihiga Sub County,Lugaga-wamuluma Ward
GSM,639,2,5067,4542,0,34.586678,-0.012703,1413,4,1,1458832681,1479013687,0,Vihiga,Luanda Sub County,Luanda South Ward
GSM,639,2,5068,910,0,34.817047,0.089951,2970,2,1,1458832681,1489789489,0,Vihiga,Hamisi Sub County,Shamakhokho Ward
GSM,639,2,5067,2091,0,34.60899353,0.035018921,1000,1,1,1458832681,1438560010,0,Vihiga,Luanda Sub County,Wemilabi Ward
GSM,639,2,5068,912,0,34.769669,0.111465,1484,3,1,1458832681,1488861626,0,Vihiga,Sabatia Sub County,North Maragoli Ward
GSM,639,2,5066,4601,0,34.720688,0.092697,1000,3,1,1458832680,1488861626,0,Vihiga,Sabatia Sub County,Lyaduywa/izava Ward
GSM,639,2,5066,4600,0,34.7295,0.111237,1000,4,1,1458832680,1488861626,0,Vihiga,Sabatia Sub County,Chavakali Ward
GSM,639,2,5066,1915,0,34.74357605,0.136642456,1000,1,1,1458832680,1446200586,0,Vihiga,Sabatia Sub County,West Sabatia Ward
GSM,639,2,5066,750,0,34.738998,0.128403,1048,3,1,1458832680,1480510321,0,Vihiga,Sabatia Sub County,West Sabatia Ward
GSM,639,2,5066,752,0,34.727097,0.11055,1000,2,1,1458832680,1473299262,0,Vihiga,Sabatia Sub County,Chavakali Ward
GSM,639,2,5066,846,0,34.720573,0.077934,1000,4,1,1458832680,1488861626,0,Vihiga,Vihiga Sub County,Lugaga-wamuluma Ward
GSM,639,2,5067,370,0,34.58812,0.025131,1000,5,1,1458832680,1483391100,0,Vihiga,Luanda Sub County,Luanda Township Ward
GSM,639,2,5067,375,0,34.597549,0.014191,1000,6,1,1458832680,1482188589,0,Vihiga,Luanda Sub County,Emabungo Ward
GSM,639,2,5066,1916,0,34.738083,0.132523,1000,2,1,1458832680,1473299262,0,Vihiga,Sabatia Sub County,West Sabatia Ward
GSM,639,2,5067,2095,0,34.595261,0.023575,1000,3,1,1458832681,1469955451,0,Vihiga,Luanda Sub County,Luanda Township Ward
GSM,639,2,5066,844,0,34.72435,0.100021,1161,3,1,1458832680,1488861626,0,Vihiga,Sabatia Sub County,Lyaduywa/izava Ward
GSM,639,2,5068,915,0,34.770355,0.091324,1000,2,1,1458832681,1479682914,0,Vihiga,Sabatia Sub County,North Maragoli Ward
GSM,639,2,5068,2182,0,34.764175,0.119705,1000,3,1,1458832681,1479682914,0,Vihiga,Sabatia Sub County,Chavakali Ward
